City,Min 1,Max 1,Min 2,Max 2,Min 3,Max 3,Min 4,Max 4,Min Avg,Max Avg
"Guilin, China",296.61,306.04,296.64,303.35,295.64,305.05,293.75,298.82,295.66,303.31
"Dissen, Germany",291.16,302.27,292.46,303.31,290.91,298.37,286.4,291.16,290.23,298.78
"Guatemala City, Guatemala",288.45,297.68,287.69,296.93,286.91,297.44,287.81,297.54,287.72,297.4
"Kandukur, India",298.53,308.44,298.06,301.67,299.3,302.44,300.18,305.58,299.02,304.53
"Nanaimo, British Columbia",288.13,293.84,288.67,293.64,286.89,291.67,285.51,290.26,287.3,292.35
"Uijeongbu-si, South Korea",295.85,303.36,295.04,303.26,294.44,303.2,293.09,298.07,294.61,301.97
"Yangon, Myanmar",297.44,299.26,297.03,299.79,297.15,298.04,297.08,298.6,297.17,298.92
"Jalpa de Mendez, Mexico",296.55,305.71,296.15,302.35,296.13,306.16,297.46,306.71,296.57,305.23
"Enugu, Nigeria",295.24,302.91,295.7,302.44,294.88,297.95,294.89,299.08,295.18,300.6
"Peterhead, Scotland",288.47,292.05,286.01,288.7,283.46,286.71,284.18,286.03,285.53,288.37
"Lima, Peru",290.71,293.68,290.71,293.91,290.39,293.98,290.53,294.14,290.58,293.93
"Singapore, Singapore",300.05,302.87,300.4,301.59,300.09,301.88,300.38,302.19,300.23,302.13
"Kaohsiung, Taiwan",297.05,299.92,299.69,302.25,300.18,302.65,300.73,302.69,299.41,301.88
"Grimesland, North Carolina",294.37,303.79,294.69,304.03,294.65,304.63,293.87,302.24,294.39,303.67
"Visalia, California",292.96,311.47,292.4,310.29,288.77,309.6,287.95,308.91,290.52,310.07
"Colonia del Sacramento, Uruguay",285.53,290.24,288.36,290.67,285.12,287.51,283.65,288.34,285.66,289.19
